Receptionist_ID,Name,Password,Gender
REC2001,Sunita Rao,REC2001_SunitaRao,Female
REC2002,Amit Verma,REC2002_AmitVerma,Male
REC2003,Pooja Singh,REC2003_PoojaSingh,Female
REC2004,Rakesh Jain,REC2004_RakeshJain,Male
REC2005,Nidhi Shah,REC2005_NidhiShah,Female
REC2006,Deepa Iyer,REC2006_DeepaIyer,Female
REC2007,Raj Malhotra,REC2007_RajMalhotra,Male
REC2008,Sneha Kulkarni,REC2008_SnehaKulkarni,Female
REC2009,Anil Kapoor,REC2009_AnilKapoor,Male
REC2010,Swati Deshmukh,REC2010_SwatiDeshmukh,Female
